district,work,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,ponds,14,59,42,52,76,27,4,49,11,55,0,17,47,13,58,10,39,58,47,40,69
2,ponds,36,47,77,44,77,1,29,56,14,65,29,24,67,29,54,53,40,27,16,13,20
3,ponds,58,19,8,73,19,73,36,3,49,56,66,47,11,57,27,61,39,52,53,46,67
4,ponds,34,48,41,61,67,68,8,78,32,37,72,52,3,41,65,21,51,64,9,2,47
5,ponds,74,67,28,62,67,72,22,6,39,65,78,49,13,48,66,0,77,30,3,78,58
6,ponds,17,15,24,67,61,30,10,47,67,38,74,52,74,6,21,70,26,39,7,76,57
7,ponds,29,42,39,32,56,32,75,78,49,78,62,11,78,63,68,63,0,77,4,63,52
8,ponds,14,56,68,40,3,21,20,5,42,2,52,22,16,78,28,59,11,75,25,58,47
9,ponds,65,33,24,73,66,53,6,74,63,9,70,40,43,59,38,23,18,17,59,77,44
10,ponds,2,11,23,53,77,12,41,20,50,32,11,64,70,9,43,36,7,39,29,3,73
11,ponds,34,4,74,18,35,4,2,4,32,21,76,30,21,13,58,74,9,57,9,58,34
12,ponds,24,59,10,58,41,3,32,64,74,47,71,25,21,34,27,4,63,4,63,72,36
13,ponds,77,42,1,55,41,77,65,55,8,61,26,30,34,48,56,54,44,53,70,70,13
14,ponds,59,65,45,40,44,46,40,18,74,17,57,34,29,49,46,33,0,10,60,24,73
15,ponds,59,24,1,54,50,54,34,76,59,4,66,51,71,66,73,49,1,37,48,61,55
16,ponds,21,36,19,58,13,46,69,25,27,44,53,50,25,16,6,29,40,31,59,70,50
17,ponds,44,34,53,23,63,50,56,18,47,29,9,32,12,73,69,50,49,24,73,11,50
18,ponds,24,2,3,60,1,77,72,74,45,27,75,43,4,0,52,65,46,54,22,60,78
19,ponds,21,71,33,40,52,34,61,65,18,41,50,38,7,62,11,22,42,3,8,10,66
20,ponds,62,46,70,32,65,3,47,50,14,9,28,56,12,45,69,65,71,40,1,60,35
21,ponds,45,45,76,7,1,17,7,69,24,41,28,66,75,74,66,76,65,4,64,51,48
22,ponds,31,45,18,68,32,74,61,48,20,4,73,38,77,13,43,69,13,0,73,22,75
23,ponds,56,2,19,57,3,62,37,45,66,40,37,60,54,4,21,52,21,8,52,32,15
24,ponds,71,5,63,17,55,61,76,37,32,6,65,39,33,13,61,9,61,35,20,66,63
25,ponds,16,74,44,72,25,20,37,18,28,7,68,67,64,26,16,51,10,57,25,33,17
26,ponds,9,14,74,71,72,52,78,62,78,25,44,22,30,36,59,0,25,23,31,30,50
27,ponds,63,6,48,73,66,0,78,32,59,1,25,56,34,24,41,15,18,47,34,50,69
28,ponds,52,16,8,42,37,47,41,33,51,32,77,32,76,71,5,28,2,58,38,39,31
29,ponds,71,32,75,39,12,4,5,51,33,4,60,57,6,30,23,54,65,57,65,77,5
30,ponds,33,50,77,17,19,41,34,24,47,54,2,6,53,25,46,9,1,45,64,47,23
31,ponds,76,62,38,70,29,58,23,71,12,72,76,58,67,62,8,56,16,48,49,2,29
32,ponds,44,53,3,36,9,69,7,72,44,65,29,48,32,36,76,52,51,47,30,43,59
33,ponds,74,32,76,13,8,74,9,15,41,72,0,43,13,63,57,51,29,40,73,36,51
34,ponds,45,30,26,59,13,12,21,70,3,70,13,42,30,4,18,78,10,52,10,33,35
35,ponds,31,76,33,37,64,74,30,69,37,76,76,17,52,72,32,52,22,28,13,37,13
36,ponds,40,58,74,10,73,67,46,39,40,64,18,33,0,28,77,7,15,31,36,14,42
37,ponds,25,57,60,3,23,42,61,0,37,22,52,56,36,25,47,62,28,72,27,71,64
1,soakpits,75,48,36,55,39,19,7,57,55,9,17,36,31,40,72,12,73,38,2,36,24
2,soakpits,49,9,26,63,75,44,39,66,44,33,74,74,5,2,28,6,41,47,21,74,6
3,soakpits,70,2,18,6,15,7,47,31,7,38,67,73,5,25,15,53,16,18,35,60,34
4,soakpits,59,12,48,39,53,76,59,18,75,50,59,11,46,7,15,68,8,16,77,22,13
5,soakpits,61,68,50,43,45,74,63,46,74,67,53,67,14,19,23,50,19,54,66,1,78
6,soakpits,60,78,65,74,6,36,43,18,70,59,64,64,40,12,2,61,26,66,51,7,5
7,soakpits,47,17,17,47,23,31,38,17,12,62,71,27,23,11,33,20,3,48,72,26,29
8,soakpits,48,21,23,39,1,50,45,41,39,53,30,64,38,24,64,9,9,18,49,26,53
9,soakpits,59,25,34,71,76,57,5,13,57,7,2,47,54,72,65,33,69,59,34,0,12
10,soakpits,51,7,43,18,33,5,43,2,47,4,50,1,33,50,10,48,32,56,25,68,54
11,soakpits,11,20,40,35,32,1,74,68,77,19,60,54,67,73,72,21,40,19,73,59,25
12,soakpits,68,65,1,32,48,56,1,38,19,31,21,30,19,69,30,56,41,42,75,11,32
13,soakpits,15,63,66,8,24,65,67,46,59,13,49,38,57,30,40,9,13,1,52,19,73
14,soakpits,52,60,69,69,43,35,34,67,12,62,66,52,36,11,44,5,13,78,28,36,35
15,soakpits,1,3,38,60,73,63,32,73,62,6,59,56,20,26,78,71,74,58,41,40,19
16,soakpits,2,28,32,5,23,11,33,55,13,58,37,22,25,8,2,76,8,5,60,15,44
17,soakpits,66,9,68,63,14,27,24,17,19,62,36,42,1,68,15,72,5,71,44,32,78
18,soakpits,25,59,48,50,31,59,29,67,2,3,37,47,31,11,26,10,42,3,13,16,52
19,soakpits,56,51,17,16,74,39,72,45,57,42,65,0,42,41,27,50,47,56,16,77,44
20,soakpits,76,5,22,5,30,61,4,0,20,63,13,48,20,27,26,23,75,46,75,43,27
21,soakpits,32,23,54,13,52,60,26,24,61,11,1,54,67,23,25,66,55,78,21,4,72
22,soakpits,57,24,31,21,48,3,34,77,37,77,60,6,0,27,75,44,53,43,33,47,50
23,soakpits,0,20,32,19,67,24,40,33,46,3,45,29,25,40,13,78,57,66,26,15,76
24,soakpits,8,26,28,8,38,30,71,27,78,58,4,41,0,25,72,39,56,24,23,42,33
25,soakpits,69,16,38,12,64,2,70,5,32,39,33,7,68,51,0,14,5,52,4,15,73
26,soakpits,27,76,65,33,50,58,53,42,69,16,58,58,2,28,56,72,71,2,54,14,17
27,soakpits,17,8,59,49,38,63,46,65,43,45,41,32,16,27,11,2,78,47,24,70,5
28,soakpits,32,20,12,52,17,24,36,50,77,31,7,43,36,15,3,21,43,12,66,37,5
29,soakpits,17,30,66,26,32,18,63,76,9,18,20,0,59,52,50,61,13,67,66,30,11
30,soakpits,78,9,67,46,41,65,10,1,61,54,54,11,5,70,13,32,28,32,33,35,34
31,soakpits,25,6,32,54,62,59,26,17,11,1,39,45,15,55,56,0,75,47,12,75,55
32,soakpits,59,37,38,46,25,31,33,54,49,74,13,21,39,2,7,55,36,63,22,63,31
33,soakpits,13,14,10,17,67,14,54,42,46,0,40,69,77,66,44,75,17,60,20,22,74
34,soakpits,12,74,71,78,66,16,9,13,64,20,0,76,33,43,16,38,43,11,68,60,5
35,soakpits,43,44,12,32,17,33,24,52,57,45,56,36,26,73,26,6,40,23,11,29,44
36,soakpits,28,43,45,41,15,46,20,37,36,78,14,57,23,33,28,52,62,5,41,50,63
37,soakpits,25,19,12,20,63,40,53,65,40,21,21,68,7,2,48,32,75,36,53,58,15
1,clean trench,25,30,55,59,22,19,14,3,73,49,59,48,1,12,33,12,9,27,0,61,36
2,clean trench,51,72,6,29,21,42,41,32,65,51,10,25,68,62,37,53,61,35,12,64,36
3,clean trench,66,29,50,66,60,41,9,54,28,13,67,16,39,1,38,76,32,10,44,11,43
4,clean trench,9,73,42,66,14,53,30,29,67,16,31,75,44,60,16,77,22,60,40,20,73
5,clean trench,65,73,19,31,62,72,60,76,12,42,52,1,51,10,23,16,22,45,8,45,2
6,clean trench,24,16,1,8,70,16,18,9,40,60,34,72,74,12,44,65,74,28,75,26,20
7,clean trench,67,18,22,53,74,46,75,9,62,13,21,57,7,76,34,8,36,1,31,59,45
8,clean trench,11,12,63,10,48,8,30,4,62,28,65,8,27,54,19,36,15,3,37,3,2
9,clean trench,2,12,62,52,50,8,50,76,73,14,22,29,55,72,78,34,0,67,18,57,59
10,clean trench,71,1,70,32,39,77,10,67,33,44,38,2,35,70,64,18,15,22,78,68,41
11,clean trench,21,37,12,2,66,51,33,3,52,36,64,69,39,14,31,68,25,3,3,20,22
12,clean trench,18,45,56,36,40,39,51,18,53,58,6,76,47,53,48,32,68,15,2,74,37
13,clean trench,9,2,0,77,74,63,28,57,26,19,42,34,37,45,74,76,51,36,30,12,76
14,clean trench,12,34,6,41,65,44,56,47,78,58,19,6,15,67,14,7,46,12,73,57,36
15,clean trench,17,16,32,41,53,37,29,11,0,58,43,20,61,53,5,54,27,42,60,0,75
16,clean trench,42,74,6,25,2,52,67,51,40,16,45,25,58,72,22,5,44,45,15,75,4
17,clean trench,2,18,62,53,25,76,11,60,74,57,16,24,41,69,31,68,33,68,21,19,35
18,clean trench,48,66,59,0,6,25,0,47,70,74,65,28,38,2,3,18,18,37,78,14,38
19,clean trench,52,45,50,74,32,12,3,1,17,65,41,18,28,60,18,71,60,4,78,52,49
20,clean trench,10,44,5,56,64,30,48,70,18,48,43,15,36,27,57,35,63,66,21,59,39
21,clean trench,34,36,23,25,47,75,49,74,37,12,60,76,46,66,23,41,10,53,70,23,69
22,clean trench,61,65,14,32,29,77,58,68,41,2,63,48,66,2,72,30,69,10,14,30,15
23,clean trench,39,6,9,71,63,64,18,76,57,41,34,34,53,68,53,9,30,6,65,68,5
24,clean trench,58,14,17,57,3,56,11,1,27,3,24,74,2,40,64,48,9,69,68,57,53
25,clean trench,61,72,65,10,58,72,43,56,5,65,0,7,78,12,17,35,51,35,61,6,11
26,clean trench,2,22,34,7,58,34,22,59,58,3,77,3,54,38,6,2,45,31,19,42,37
27,clean trench,71,30,26,25,64,58,9,1,25,70,68,54,62,66,61,43,58,77,34,61,12
28,clean trench,50,27,0,10,51,55,67,11,63,64,61,36,56,3,47,59,59,8,23,77,15
29,clean trench,29,31,52,60,4,47,71,9,36,33,12,15,62,16,29,19,33,24,1,73,74
30,clean trench,71,24,72,1,17,14,45,29,52,68,50,43,37,51,47,29,65,7,61,6,13
31,clean trench,4,61,62,67,30,4,50,67,59,39,52,31,59,67,44,42,4,3,5,65,27
32,clean trench,46,71,56,59,46,42,62,43,18,67,19,42,35,60,52,51,65,21,4,69,76
33,clean trench,42,71,9,34,41,0,64,58,23,7,35,23,24,63,23,61,46,61,77,40,46
34,clean trench,53,57,6,25,63,29,21,54,44,73,44,6,37,47,42,42,10,3,29,35,14
35,clean trench,44,10,2,18,41,10,50,46,33,39,9,7,1,23,7,27,15,63,76,10,65
36,clean trench,38,7,1,15,56,44,23,14,5,67,20,37,43,51,41,13,50,57,75,66,56
37,clean trench,2,43,58,77,35,57,73,32,55,23,15,45,70,73,34,52,4,25,77,59,20
1,restore revolute,61,35,47,14,53,58,43,11,61,60,6,52,78,28,17,29,11,48,61,66,9
2,restore revolute,5,28,66,23,21,13,76,30,32,36,2,65,67,7,20,56,70,36,3,19,17
3,restore revolute,40,35,40,34,2,25,5,62,58,41,59,19,25,52,3,33,60,18,7,71,44
4,restore revolute,46,0,77,41,49,4,12,76,39,32,3,11,55,10,26,60,55,33,66,5,62
5,restore revolute,49,59,50,5,19,75,25,78,52,5,6,0,22,16,48,37,23,34,42,75,10
6,restore revolute,69,15,71,7,5,2,0,57,69,27,24,28,46,30,33,42,4,68,27,54,9
7,restore revolute,75,17,50,43,78,25,21,65,40,65,15,23,20,35,70,7,61,25,77,8,34
8,restore revolute,66,22,67,39,51,74,38,64,41,57,74,10,34,43,34,37,67,0,44,76,31
9,restore revolute,54,63,48,67,27,31,55,26,67,15,29,1,49,28,77,17,47,27,42,4,43
10,restore revolute,24,63,28,64,15,0,38,32,66,15,2,73,26,78,52,58,71,49,68,27,24
11,restore revolute,49,8,70,72,9,48,14,16,28,32,14,35,51,42,38,64,71,35,34,56,8
12,restore revolute,27,9,14,51,42,19,58,23,76,31,22,60,55,37,65,77,11,68,20,11,31
13,restore revolute,73,46,20,34,44,22,16,13,16,65,0,28,69,18,28,15,66,45,28,34,56
14,restore revolute,23,10,75,55,16,51,70,68,74,15,11,73,77,0,48,39,59,21,39,56,17
15,restore revolute,25,33,9,75,37,63,55,54,35,53,4,40,29,15,0,62,19,77,28,31,40
16,restore revolute,50,36,28,32,38,13,33,43,13,75,6,68,69,43,32,11,36,9,5,12,71
17,restore revolute,64,47,56,64,9,9,12,12,22,62,24,41,64,71,49,27,49,63,52,18,44
18,restore revolute,41,39,36,17,24,25,53,0,41,57,51,14,66,26,6,44,72,10,39,67,25
19,restore revolute,45,75,7,35,29,51,12,10,75,73,64,11,65,78,61,44,44,14,57,62,16
20,restore revolute,5,9,76,62,52,58,49,59,12,0,64,28,69,26,4,70,5,65,26,25,44
21,restore revolute,15,65,26,37,71,67,68,70,60,58,64,18,60,33,10,49,9,67,12,68,27
22,restore revolute,74,45,1,32,19,72,52,18,8,64,23,66,69,9,35,52,20,65,59,30,36
23,restore revolute,0,1,47,20,16,25,49,53,15,69,62,22,78,43,11,54,14,72,56,9,30
24,restore revolute,38,22,0,35,58,5,18,70,0,73,39,25,5,64,38,51,3,21,12,47,50
25,restore revolute,27,0,21,17,78,39,1,43,25,72,16,72,7,58,4,46,32,58,38,38,13
26,restore revolute,70,6,73,22,57,61,3,11,2,47,52,56,38,73,16,34,64,15,22,68,22
27,restore revolute,34,39,55,66,51,62,67,7,26,74,61,8,56,60,47,0,42,29,20,53,46
28,restore revolute,54,9,31,53,55,59,19,16,64,24,54,38,20,78,15,29,26,30,11,12,41
29,restore revolute,25,67,1,76,60,69,39,74,77,21,30,6,74,7,3,48,29,16,63,26,7
30,restore revolute,9,11,16,16,22,68,20,13,22,58,20,4,61,48,47,18,48,37,12,16,60
31,restore revolute,16,60,55,27,1,48,31,36,62,9,5,13,54,39,68,70,61,14,76,56,55
32,restore revolute,66,59,53,76,28,44,68,36,44,43,56,68,30,42,47,69,26,13,74,18,29
33,restore revolute,72,12,31,22,44,28,11,19,27,67,49,10,32,35,16,70,59,39,44,52,40
34,restore revolute,29,69,61,8,46,37,2,56,78,18,0,17,22,5,67,39,3,19,12,33,43
35,restore revolute,62,25,44,3,30,40,78,7,68,31,7,67,64,2,5,41,61,44,43,50,47
36,restore revolute,37,35,28,36,4,25,42,31,24,41,39,23,5,4,76,7,48,61,75,32,33
37,restore revolute,25,21,64,38,31,20,4,70,29,63,2,66,41,60,71,76,21,8,73,18,4
1,clear waterways,51,2,63,59,39,41,67,74,20,23,62,39,20,69,65,38,70,58,11,53,1
2,clear waterways,56,49,0,35,77,11,6,31,8,75,5,40,51,69,18,39,33,28,14,77,6
3,clear waterways,28,28,22,49,10,77,74,55,67,45,65,49,43,71,1,43,33,35,54,21,42
4,clear waterways,70,11,9,20,52,14,55,2,20,44,57,14,37,47,30,53,8,65,55,15,71
5,clear waterways,68,74,32,21,71,14,69,21,27,48,31,77,15,30,69,56,41,57,36,18,36
6,clear waterways,53,67,45,64,55,35,31,40,66,32,32,64,49,61,47,77,73,29,23,38,0
7,clear waterways,47,49,63,25,26,2,38,67,30,71,63,4,57,71,33,57,43,72,15,14,27
8,clear waterways,34,1,27,15,0,30,34,57,47,21,74,73,17,18,74,65,36,75,58,69,38
9,clear waterways,38,73,69,49,6,36,51,58,29,53,58,75,46,37,55,66,7,58,19,60,11
10,clear waterways,76,74,60,38,17,1,46,46,14,20,29,64,63,27,36,62,72,72,58,73,20
11,clear waterways,49,61,37,32,25,39,25,42,10,50,14,48,2,4,49,34,28,44,68,21,41
12,clear waterways,42,51,60,5,11,75,11,46,45,19,51,38,55,27,3,48,57,57,55,75,16
13,clear waterways,8,17,47,14,70,70,31,27,47,18,50,70,34,28,1,17,61,2,72,71,64
14,clear waterways,49,11,9,38,4,22,6,78,14,19,33,36,2,57,11,27,47,49,48,39,58
15,clear waterways,73,78,46,26,27,5,18,44,24,15,45,6,61,29,22,73,72,60,54,37,57
16,clear waterways,41,3,40,63,46,73,20,56,72,41,53,41,3,72,68,53,7,4,10,35,33
17,clear waterways,69,75,6,76,48,60,67,3,57,47,78,69,38,66,26,50,44,50,59,12,33
18,clear waterways,19,56,69,35,34,25,14,26,11,50,67,73,49,50,49,62,62,40,51,49,7
19,clear waterways,36,29,26,42,72,2,8,78,54,67,64,2,56,35,29,6,18,25,77,49,3
20,clear waterways,38,63,17,24,33,51,71,10,55,60,60,27,22,37,22,52,28,52,35,9,12
21,clear waterways,14,1,37,37,14,9,41,59,35,69,44,33,77,4,13,77,5,3,30,58,53
22,clear waterways,30,49,23,1,33,15,31,19,57,30,3,36,34,2,73,34,6,74,48,12,50
23,clear waterways,19,29,45,32,0,48,43,46,23,25,30,32,59,18,15,27,44,10,60,18,63
24,clear waterways,41,54,33,46,73,45,52,4,23,71,44,57,76,41,67,67,48,38,55,43,52
25,clear waterways,33,76,12,44,39,8,49,10,58,56,65,1,44,40,5,30,44,35,30,3,43
26,clear waterways,8,13,33,14,30,39,21,11,41,74,48,74,28,11,24,38,78,48,42,69,33
27,clear waterways,69,25,21,38,48,20,41,37,67,48,39,30,3,45,63,32,75,64,36,35,12
28,clear waterways,33,70,67,56,32,30,26,32,28,34,0,23,18,29,46,56,35,54,75,35,8
29,clear waterways,44,14,42,52,67,74,67,20,27,9,26,49,31,41,32,51,5,25,68,47,70
30,clear waterways,37,27,24,52,16,11,39,60,31,65,4,42,24,30,22,7,30,35,7,18,6
31,clear waterways,23,23,29,17,13,76,63,70,57,12,3,72,29,20,51,3,12,4,26,60,45
32,clear waterways,58,32,56,10,72,18,12,8,70,10,3,71,75,1,62,66,51,55,31,47,73
33,clear waterways,32,69,39,55,23,18,56,1,67,41,77,68,7,78,42,11,52,1,58,78,5
34,clear waterways,78,16,16,49,24,71,11,48,34,26,56,9,39,26,51,19,62,29,61,54,28
35,clear waterways,51,69,17,19,78,29,54,61,32,64,11,64,73,56,11,59,47,20,33,63,22
36,clear waterways,25,38,16,70,64,10,62,7,20,14,72,1,68,37,31,43,28,55,70,15,2
37,clear waterways,20,19,8,36,26,50,32,42,67,62,0,5,39,12,8,6,41,6,66,65,7
1,plantation,75,47,40,62,55,3,71,42,35,75,14,38,37,28,1,44,28,78,65,1,6
2,plantation,37,44,73,56,43,65,10,10,15,42,25,17,78,48,61,17,70,42,67,33,18
3,plantation,54,5,54,4,43,63,48,33,5,61,32,27,22,0,41,61,39,53,78,50,10
4,plantation,57,32,21,2,64,24,54,74,5,72,12,44,70,39,58,50,11,72,74,9,21
5,plantation,47,4,63,58,17,36,23,21,1,19,8,14,11,45,43,1,73,68,9,33,60
6,plantation,68,40,35,75,46,46,46,36,13,12,29,58,64,28,51,41,19,59,3,4,0
7,plantation,42,28,48,18,66,66,58,32,44,38,0,36,28,18,42,20,74,71,60,17,38
8,plantation,27,47,49,22,59,49,20,54,34,40,32,51,9,54,57,76,70,68,1,13,22
9,plantation,25,76,21,45,37,9,71,24,75,4,26,57,4,61,50,45,62,60,45,11,23
10,plantation,31,21,8,68,44,59,28,27,59,36,69,32,3,30,9,31,62,6,12,32,50
11,plantation,60,17,40,47,78,11,42,11,71,30,28,34,23,68,14,76,63,4,16,19,32
12,plantation,6,47,30,41,4,55,66,11,69,66,46,67,41,67,48,18,38,67,64,5,37
13,plantation,6,19,1,51,49,72,54,22,21,41,22,35,2,39,45,20,30,11,61,41,70
14,plantation,65,12,44,40,10,65,46,38,45,7,67,45,14,60,57,63,71,29,58,29,8
15,plantation,44,70,68,55,10,75,11,33,20,24,13,48,22,14,69,21,25,27,15,15,33
16,plantation,7,37,65,53,0,61,69,53,44,13,61,14,43,38,38,74,27,30,39,36,59
17,plantation,65,45,11,14,60,23,47,31,59,2,8,3,41,75,13,53,23,38,67,63,24
18,plantation,40,55,19,68,23,10,43,46,10,51,17,13,8,8,19,44,59,18,77,54,53
19,plantation,4,29,63,50,51,51,20,54,55,71,16,18,56,7,62,47,63,31,40,13,31
20,plantation,40,41,51,15,51,12,12,62,58,11,59,7,45,7,24,6,73,16,42,42,45
21,plantation,44,40,67,42,56,46,24,75,63,72,77,38,15,27,59,60,10,8,2,46,8
22,plantation,16,75,64,43,71,31,29,4,49,35,41,13,63,42,6,54,42,26,0,61,77
23,plantation,53,64,21,64,3,71,65,21,0,52,53,46,28,57,53,64,10,53,57,21,20
24,plantation,2,55,77,54,49,12,30,22,16,3,13,78,10,58,55,66,59,47,24,1,53
25,plantation,0,36,9,41,41,40,42,29,15,0,73,22,44,10,26,56,55,57,52,59,5
26,plantation,36,58,7,41,59,63,40,4,48,11,54,21,49,23,48,51,51,54,74,58,61
27,plantation,12,43,65,63,30,19,73,62,33,53,4,29,55,56,22,53,16,78,39,40,53
28,plantation,1,13,1,60,37,34,54,34,72,74,14,37,17,76,34,48,6,44,52,7,18
29,plantation,22,38,75,61,74,9,69,42,73,4,59,10,1,74,54,51,63,78,71,64,17
30,plantation,48,52,6,50,26,72,72,70,45,27,7,26,65,31,62,28,41,27,5,12,0
31,plantation,54,38,3,8,69,57,51,54,29,42,44,57,50,76,15,50,69,4,11,33,11
32,plantation,15,52,59,10,69,75,48,70,61,9,40,44,63,41,51,22,51,49,12,4,16
33,plantation,14,54,6,10,57,74,41,8,37,55,75,76,14,23,76,23,16,72,76,24,20
34,plantation,4,68,38,42,73,3,1,78,77,9,57,18,66,34,6,56,49,24,25,69,8
35,plantation,25,20,19,75,63,43,20,52,36,0,57,46,27,76,52,25,6,70,3,56,27
36,plantation,43,28,41,36,7,10,6,44,33,75,66,5,21,17,29,4,46,72,3,14,25
37,plantation,34,63,38,73,69,60,5,46,35,11,57,16,55,2,54,4,15,6,67,52,23
